tanggal,pm25
9/18/2024,76
9/19/2024,83
9/20/2024,88
9/21/2024,94
9/22/2024,101
9/23/2024,87
9/24/2024,74
9/25/2024,89
9/26/2024,71
9/27/2024,70
9/28/2024,85
9/29/2024,89
9/30/2024,70
10/1/2024,91
10/2/2024,85
10/3/2024,90
10/4/2024,82
10/5/2024,80
10/6/2024,73
10/7/2024,108
10/8/2024,76
10/9/2024,76
10/10/2024,86
10/11/2024,83
10/12/2024,77
10/13/2024,92
10/14/2024,86
10/15/2024,71
10/16/2024,94
10/17/2024,70
10/18/2024,73
10/19/2024,82
10/20/2024,82
10/21/2024,82
10/22/2024,94
10/23/2024,84
10/24/2024,78
10/25/2024,73
10/26/2024,76
10/27/2024,78
10/28/2024,83
10/29/2024,75
10/30/2024,86
10/31/2024,78
11/1/2024,87
11/2/2024,87
11/3/2024,70
11/4/2024,60
11/5/2024,65
11/6/2024,58
11/7/2024,83
11/8/2024,83
11/9/2024,99
11/10/2024,71
11/11/2024,71
11/12/2024,53
11/13/2024,74
11/14/2024,96
11/15/2024,106
11/16/2024,109
11/17/2024,115
11/18/2024,68
11/19/2024,61
11/20/2024,62
11/21/2024,64
11/22/2024,48
11/23/2024,54
11/24/2024,51
11/25/2024,44
11/26/2024,55
11/28/2024,42
11/29/2024,32
11/30/2024,40
12/1/2024,65
12/2/2024,52
12/3/2024,31
12/4/2024,45
12/5/2024,26
12/6/2024,47
12/7/2024,103
12/8/2024,67
12/9/2024,69
12/10/2024,56
12/11/2024,26
12/12/2024,40
12/13/2024,52
12/14/2024,40
12/15/2024,40
12/16/2024,48
12/17/2024,37
12/18/2024,67
12/19/2024,35
12/20/2024,46
12/21/2024,53
12/22/2024,80
12/23/2024,78
12/24/2024,55
12/25/2024,79
12/26/2024,62
12/27/2024,83
12/28/2024,101
12/29/2024,21
12/30/2024,10
12/31/2024,11
1/1/2025,63
1/2/2025,38
1/3/2025,57
1/4/2025,61
1/5/2025,56
1/6/2025,58
1/7/2025,46
1/8/2025,46
1/9/2025,26
1/10/2025,58
1/11/2025,56
1/12/2025,58
1/13/2025,37
1/14/2025,54
1/15/2025,51
1/16/2025,57
1/17/2025,55
1/18/2025,34
1/19/2025,50
1/20/2025,39
1/21/2025,52
1/22/2025,51
1/23/2025,59
1/24/2025,73
1/25/2025,55
1/26/2025,59
1/27/2025,50
1/28/2025,36
1/29/2025,32
1/30/2025,30
1/31/2025,51
2/1/2025,51
2/2/2025,47
2/3/2025,45
2/4/2025,73
2/5/2025,47
2/6/2025,53
2/7/2025,50
2/8/2025,48
2/9/2025,52
2/10/2025,38
2/11/2025,51
2/12/2025,74
2/13/2025,74
2/14/2025,68
2/15/2025,54
2/16/2025,67
2/19/2025,73
2/20/2025,50
2/21/2025,72
2/22/2025,63
2/23/2025,70
2/24/2025,55
2/25/2025,66
2/26/2025,57
2/27/2025,85
2/28/2025,57
